experiment_id	phase	description	retrieval_score	recall_at_k	ndcg_at_k	precision_at_k	mrr	map_at_k	hit_rate_at_k	num_eval_samples	wall_clock_seconds	delta_vs_best	result	reasoning	timestamp
1	1-Chunking	Recursive chunking vs fixed, chunk_size=512, overlap=50	0.9472	0.9600	0.9344	0.1920	0.9256	0.9256	0.9600	300	15.3	+0.0000	REVERT	Recursive chunking at size=512 produces identical results to fixed chunking on NQ passages. Chunking method doesn't differentiate at this size.	2026-03-31
2	1-Chunking	Fixed chunking chunk_size=256 (halved from 512), overlap=50	0.9464	0.9600	0.9328	0.1920	0.9244	0.9278	0.9567	300	13.7	-0.0008	REVERT	Smaller chunks slightly hurt NDCG. More fragments may reduce query-chunk match quality. 512 tokens is a better default for NQ passages.	2026-03-31
3	1-Chunking	Fixed chunking chunk_size=1024 (doubled from 512), overlap=50	0.9472	0.9600	0.9344	0.1920	0.9256	0.9256	0.9600	300	13.8	+0.0000	REVERT	NQ corpus docs are ≤512 tokens; chunking size above 512 has no effect. Phase 1 size experiments exhausted.	2026-03-31
4	1-Chunking	Sentence chunking 5 sentences/chunk overlap=1 (ARTIFACT - invalid metrics)	1.0570	1.1833	0.9306	0.2367	0.9244	1.1356	0.9600	300	14.0	+0.1098	REVERT	Spurious improvement: duplicate doc_ids in top-k inflate recall>1. NDCG actually decreased. Measurement artifact, not real gain. Best config restored to 0.9472.	2026-03-31
5	2-Retrieval	Hybrid retrieval BM25+Dense RRF vs dense-only	0.9146	0.9400	0.8892	0.1880	0.8717	0.8717	0.9400	300	17.5	-0.0326	REVERT	Hybrid hurts performance. BM25 introduces noise for NQ semantic queries. Dense-only is superior for this dataset.	2026-03-31
6	2-Retrieval	top_k=10 (doubled from 5), dense retrieval	0.9472	0.9600	0.9344	0.0960	0.9256	0.9256	0.9600	300	13.1	+0.0000	REVERT	12 missing queries not in top-10 either. Dense retrieval recall ceiling at 0.96. Precision halved as expected (noise).	2026-03-31
7	3-Reranking	Cross-encoder reranker ms-marco-MiniLM-L-6-v2 top_k=5 rerank_top_n=3	0.9621	0.9667	0.9576	0.1933	0.9544	0.9544	0.9667	300	268.0	+0.0149	KEEP	Reranker highly effective: NDCG +2.3%, MRR +2.9%. Recall also improved slightly. Best improvement so far.	2026-03-31
8	3-Reranking	top_k=10 then rerank to top_n=5 expanded candidate pool	0.9710	0.9767	0.9653	0.0977	0.9614	0.9614	0.9767	300	600.0	+0.0089	KEEP	Retrieve more rerank fewer strategy works. Recall 0.9667→0.9767, NDCG 0.9576→0.9653. Larger candidate pool helps reranker.	2026-04-01
9	3-Reranking	top_k=20 then rerank to top_n=5 even larger candidate pool	0.9776	0.9833	0.9718	0.0492	0.9679	0.9679	0.9833	300	1296.2	+0.0066	KEEP	Continued improvement: recall 0.9767→0.9833, NDCG 0.9653→0.9718. Hard-miss queries have relevant docs in positions 11-20.	2026-04-01
10	3-Reranking	top_k=30 then rerank to top_n=5	0.9834	0.9900	0.9768	0.0330	0.9723	0.9723	0.9900	300	1981.7	+0.0058	KEEP	Further improvement: recall 0.9833→0.9900, NDCG 0.9718→0.9768. Pattern holds: larger initial pool helps reranker.	2026-04-01
